WVL,INT
184.216552734375,1618.0135250748738
184.66635765934336,1618.0135250748738
185.11620269281144,1615.9657418189113
185.56608784737185,1622.1088931869594
186.01601313561733,1627.2277315130293
186.4659785701405,1635.4170141911861
186.91598416353406,1640.534779647214
187.36602992839067,1650.7690744057873
187.816115877303,1662.0248971608396
188.2662420228637,1674.3017079349497
188.7164083776655,1683.5077646932177
189.166614954301,1695.7804415657029
189.61686176536293,1706.0058715066787
190.06714882344392,1711.1179732812027
190.51747614113665,1717.2519562798173
190.96784373103384,1721.3409517404214
191.41825160572807,1736.6723605807338
191.86869977781208,1753.021824453348
192.31918825987853,1760.1734059587095
192.76971706452005,1763.2381258216292
193.22028620432937,1770.3885707411803
193.67089569189912,1776.5168909262252
194.121545539822,1791.8351395698505
194.57223576069063,1788.7717812635376
195.02296636709775,1798.9824094698154
195.473737371636,1797.9614194219473
195.92454878689801,1807.1497480948376
196.37540062547652,1824.5019122847066
196.82629289996416,1832.666024449465
197.2772256229536,1838.7884323063524
197.72819880703753,1851.0315108522584
198.17921246480861,1854.0919188812886
198.63026660885953,1860.2123013724192
199.08136125178294,1858.1722380896708
199.5324964061715,1857.152182370802
199.9836720846179,1866.3321061181464
200.4348882997148,1873.4711486648011
200.8861450640549,1873.4711486648011
201.33744239023082,1884.6880579961885
201.78878029083526,1902.0194737223687
202.2401587784609,1909.154596947459
202.69157786570042,1918.3271779501094
203.14303756514644,1927.498467754589
203.5945378893917,1924.4415145351813
204.0460788510288,1934.6308013524185
204.49766046265046,1945.8371792307564
204.9492827368493,1962.1339336210867
205.40094568621808,1973.3355965357796
205.8526493233494,1988.6075031196235
206.30439366083593,2012.0175188580538
206.7561787112704,2016.0879737658317
207.2080044872454,2015.0703836863236
207.65987100135365,2032.3672726883992
208.11177826618783,2053.7277417989276
208.56372629434057,2047.6254575656303
209.01571509840457,2051.693709846555
209.4677446909725,2061.863242035518
209.919815084637,2057.795617401992
210.3719262919908,2058.8125470841087
210.82407832562654,2090.3295973523423
211.27627119813687,2109.6390733141848
211.7285049221145,2126.911201886913
212.18077951015204,2123.8635061825466
212.63309497484224,2146.2100251386496
213.0854513287777,2169.5642625786604
213.53784858455114,2167.533784702053
213.99028675475523,2180.730784610102
214.44276585198259,2195.954846445572
214.89528588882595,2209.1462251757825
215.34784687787794,2209.1462251757825
215.80044883173127,2221.320571891138
216.25309176297858,2233.4927039115055
216.70577568421254,2259.8580751197824
217.15850060802583,2286.2131001434936
217.61126654701113,2307.492322083313
218.0640735137611,2339.904910892703
218.5169215208684,2371.289816637158
218.96981058092572,2382.422909331213
219.42274070652573,2407.718621568996
219.87571191026112,2447.1612210009876
220.3287242047245,2469.400873917208
220.78177760250858,2480.518000088757
221.23487211620605,2513.85861346291
221.68800775840953,2527.9982522211512
222.14118454171174,2577.4642839281682
222.59440247870532,2601.6797192661506
223.04766158198296,2655.1258068970205
223.5009618641373,2697.4505046981903
223.95430333776108,2758.877152268227
224.4076860154469,2821.256814638119
224.86110990978744,2921.7561968834557
225.3145750333754,3042.1750400195356
